policy_id,earned_exposure,earned_premium_net,indicated_pureprem,indicated_net
1,32.0,1376.64,489.8651734842834,668.665961806047
2,14.0,631.96,518.8356304250178,708.2106355301495
3,42.0,1572.06,622.5150045118803,849.7329811587167
4,38.0,1300.7399999999998,588.4112453377257,803.1813498859957
5,44.0,2243.56,1060.5448455024841,1447.643714110891
6,13.0,431.0799999999999,576.0000630786501,786.2400861023574
7,15.0,489.9,782.6665207527741,1068.3398008275367
8,25.0,250.0,262.1549900893053,357.84156147190174
9,14.0,286.72,284.89995078268726,388.88843281836813
10,15.0,341.84999999999997,278.3124227491938,379.89645705264957
11,19.0,951.33,1270.8029125775136,1734.6459756683062
12,41.0,732.26,300.37048860556314,410.0057169465937
13,15.0,290.7,494.5081316248563,675.0035996679288
14,40.0,2127.6,779.5864424851998,1064.1354939922978
15,28.0,1415.96,968.3767454246412,1321.8342575046352
16,32.0,863.68,459.8845218720111,627.7423723552952
17,27.0,507.33,634.72814949775,866.4039240644288
18,24.0,1071.84,1393.594732793256,1902.2568102627947
19,18.0,832.86,1223.2199080053456,1669.695174427297
20,46.0,1484.88,624.1261084106408,851.9321379805248
21,13.0,380.90000000000003,464.8615851345122,634.5360637086093
22,41.0,1878.6200000000001,614.9965681390696,839.47031550983
23,23.0,1233.49,1409.3285660852318,1923.7334927063416
24,25.0,898.0,928.5699607730259,1267.4979964551803
25,16.0,636.0,550.7490807844308,751.7724952707481
26,25.0,565.0,463.31814593276505,632.4292691982243
27,22.0,1166.22,929.449478298629,1268.6985378776285
28,15.0,745.5,671.2071021747754,916.1976944685684
29,32.0,556.48,692.0557162435464,944.6560526724409
30,23.0,1356.54,1207.5343810536283,1648.2844301382027
31,28.0,667.24,557.1871584032741,760.5604712204691
32,13.0,885.04,900.0317952439925,1228.54340050805
33,30.0,1154.7,890.4221475690134,1215.4262314317034
34,27.0,547.29,677.9035566253996,925.3383547936704
35,21.0,737.94,467.97768790257174,638.7895439870105
36,16.0,332.16,308.12629839992053,420.5923973158915
37,24.0,560.64,531.0110874531156,724.8301343735028
38,23.0,768.6600000000001,382.8733643449721,522.622142330887
39,44.0,2546.2799999999997,791.2052131529321,1079.9951159537522
40,36.0,374.40000000000003,307.2700348953717,419.42359763218235
41,21.0,497.07000000000005,341.19245526198233,465.7277014326059
42,23.0,982.33,616.5360619642323,841.5717245811771
43,13.0,426.4,1308.4685933287026,1786.0596298936791
44,28.0,281.40000000000003,285.19777913706383,389.2949685220922
45,26.0,801.5799999999999,938.1834111948548,1280.620356280977
46,21.0,1167.6000000000001,855.902977865219,1168.307564786024
47,16.0,561.44,874.6576729841055,1193.907723623304
48,19.0,566.77,513.4581901245748,700.8704295200446
49,15.0,641.4,798.9864311608193,1090.6164785345184
50,37.0,695.6,395.0925115030418,539.301278201652
51,16.0,767.84,703.0623087880745,959.6800514957217
52,19.0,306.46999999999997,390.57855096935543,533.1397220731702
53,49.0,1261.26,309.9541817307313,423.08745806244826
54,29.0,617.99,381.016474377576,520.0874875253912
55,15.0,182.85,407.1301833498951,555.7327002726068
56,21.0,210.0,523.6817563286114,714.8255973885547
57,23.0,366.39,398.06305875752724,543.3560752040247
58,30.0,1489.8,880.1808563891269,1201.4468689711582
59,48.0,1839.3600000000001,529.5925426223646,722.8938206795277
60,37.0,2602.21,1138.9012473767298,1554.6002026692363
61,42.0,1715.2800000000002,787.4139210857924,1074.8200022821065
62,29.0,1193.6399999999999,1680.183136553038,2293.449981394897
63,22.0,671.0,725.1639045451244,989.8487297040949
64,19.0,828.21,456.41677035466194,623.0088915341136
65,17.0,749.87,683.4806789731391,932.9511267983349
66,25.0,1740.75,1323.0763409535857,1805.9992054016445
67,24.0,833.76,1260.366878724638,1720.400789459131
68,41.0,451.40999999999997,540.6310270326424,737.9613518995569
69,16.0,490.56,723.5506008144185,987.6465701116814
70,20.0,208.4,273.6372279825934,373.51481619624
71,31.0,1137.3899999999999,1444.4503230699024,1971.674690990417
72,13.0,792.48,855.7843092985253,1168.1455821924872
73,31.0,313.40999999999997,393.90996706471424,537.687105043335
74,32.0,1151.68,739.2606938584597,1009.0908471167976
75,25.0,1113.75,649.2633004554998,886.2444051217573
76,15.0,228.9,502.4051678884831,685.7830541677795
77,18.0,788.58,815.9711966908258,1113.8006834829773
78,23.0,530.38,790.6338490337258,1079.2152039310358
79,23.0,544.18,476.2547027580769,650.0876692647751
80,32.0,1496.64,740.4989174568084,1010.7810223285436
81,18.0,1016.28,1234.5298418926334,1685.1332341834448
82,36.0,2552.4,740.7204035024273,1011.0833507808134
83,13.0,386.09999999999997,736.4284103707186,1005.224780156031
84,13.0,256.36,575.0898722622438,784.9976756379629
85,38.0,701.1,483.4745866856352,659.9428108258921
86,28.0,664.44,312.90464868200775,427.1148454509406
87,34.0,434.85999999999996,322.2408710556414,439.85878899095053
88,29.0,1218.5800000000002,733.2198747916884,1000.8451290906548
89,38.0,1065.52,260.5450338280189,355.6439711752459
90,23.0,1007.6300000000001,1105.979496363646,1509.6620125363768
91,15.0,393.29999999999995,386.6176156616084,527.7330453780955
92,26.0,260.0,457.1042611008588,623.9473164026723
93,23.0,1222.22,600.2694596457874,819.3678124164999
94,21.0,1305.36,651.8927464437629,889.8335988957365
95,47.0,1231.8700000000001,681.7457863538683,930.5829983730304
96,16.0,194.88,363.1871509691058,495.75046107282947
97,17.0,1206.32,1077.6419530640974,1470.981265932493
98,37.0,849.89,529.1773527981488,722.3270865694732
99,19.0,400.33,248.26474653710977,338.88137902315486
100,28.0,1279.32,948.0754377648527,1294.122972549024
101,36.0,1058.76,555.9796996371606,758.9122900047244
102,20.0,480.4,293.7747143056623,401.0024850272291
103,33.0,1129.59,907.9780784387788,1239.3900770689331
104,48.0,480.0,502.16642450927975,685.4571694551669
105,30.0,1707.3,827.9780245507905,1130.190003511829
106,15.0,201.15,298.9895789925306,408.1207753248043
107,25.0,308.75,390.22421717570364,532.6560564448355
108,33.0,690.36,655.0736280942834,894.175502348697
109,28.0,747.32,393.74169983206417,537.4574202707677
110,16.0,237.6,242.2403062206619,330.6580179912035
111,28.0,1096.2,1201.8909168554708,1640.581101507718
112,43.0,991.15,770.6463556796624,1051.9322755027392
113,20.0,344.20000000000005,651.3072460516329,889.034390860479
114,15.0,597.3,644.0168576189698,879.0830106498937
115,23.0,1633.4599999999998,999.1312164881163,1363.814110506279
116,19.0,874.3800000000001,953.0937854742291,1300.973017172323
117,41.0,2024.99,1171.7548330683485,1599.4453471382958
118,37.0,370.0,322.8844724930856,440.7373049530618
119,43.0,701.76,491.4846216991226,670.8765086193025
120,27.0,1019.7900000000001,563.7818799224364,769.5622660941257
121,37.0,1728.27,722.899786422972,986.7582084673569
122,18.0,358.38,484.7735947929312,661.7159568923511
123,17.0,1039.72,569.5843880592972,777.4826897009408
124,15.0,496.79999999999995,472.07397956170314,644.3809821017248
125,29.0,1557.8799999999999,1290.1566871064504,1761.0638779003048
126,32.0,756.16,398.16974698509614,543.5017046346562
127,18.0,701.64,561.9123435186655,767.0103489029784
128,42.0,2394.0,2090.157049320745,2853.0643723228177
129,42.0,2907.24,958.6080274882517,1308.4999575214636
130,17.0,217.42999999999998,328.6929053029848,448.6658157385743
131,23.0,893.5500000000001,1131.7120475070349,1544.7869448471026
132,22.0,546.26,397.52830436077113,542.6261354524527
133,22.0,1509.86,950.9095267345778,1297.9915039926987
134,33.0,968.88,1128.2362901095146,1540.0425359994877
135,26.0,862.9399999999999,1038.7026315628707,1417.8290920833188
136,24.0,1220.8799999999999,459.5299493012772,627.2583807962434
137,29.0,1024.57,688.1055874939398,939.2641269292278
138,13.0,456.82,599.6201862026044,818.481554166555
139,37.0,1582.49,398.07314329639615,543.3698405995808
140,18.0,328.86,312.53487586125715,426.610105550616
